Symbol,Company Name,Prediction Horizon (Years),As Of Date,Predicted Total Return (%),Predicted CAGR (%),Annualized Volatility (%),Latest P/E Ratio,Latest Beta,Composite Risk Score,Risk Band (Composite),Risk Band (Volatility Only),Conservative Band,Expected Band,Optimistic Band
CTE.NS,Cambridge Technology Enterprises Limited,1,18-06-2025,49.32,49.32,55.11,,-0.42,,Unknown,High,48.32% – 49.32%,50.32% – 52.32%,53.32% – 57.32%
AGRITECH.NS,Agri-tech (India) Limited,1,18-06-2025,49.17,49.17,58.23,,,,Unknown,High,48.17% – 49.17%,50.17% – 52.17%,53.17% – 57.17%
HINDWAREAP.NS,Hindware Home Innovation Limited,1,18-06-2025,49.16,49.16,46.88,,0.58,,Unknown,High,48.16% – 49.16%,50.16% – 52.16%,53.16% – 57.16%
KREBSBIO.NS,Krebs Biochemicals & Industries Limited,1,18-06-2025,49.15,49.15,67.03,,0.62,,Unknown,High,48.15% – 49.15%,50.15% – 52.15%,53.15% – 57.15%
LIKHITHA.NS,Likhitha Infrastructure Limited,1,18-06-2025,48.8,48.8,43.96,16.59,0.5,0.3532,Medium,High,47.8% – 48.8%,49.8% – 51.8%,52.8% – 56.8%
SHEKHAWATI.NS,Shekhawati Industries Limited,1,18-06-2025,48.67,48.67,861.67,132.83,1.26,0.852,High,High,47.67% – 48.67%,49.67% – 51.67%,52.67% – 56.67%
CHEMBOND.NS,Chembond Material Technologies Limited,1,18-06-2025,48.5,48.5,53.7,17.91,0.61,0.4471,Medium,High,47.5% – 48.5%,49.5% – 51.5%,52.5% – 56.5%
MIRCELECTR.NS,MIRC Electronics Limited,1,18-06-2025,48.41,48.41,55.39,,0.2,,Unknown,High,47.41% – 48.41%,49.41% – 51.41%,52.41% – 56.41%
DCMSHRIRAM.NS,DCM Shriram Limited,1,18-06-2025,48.24,48.24,38.52,29.87,-0.22,0.4126,Medium,High,47.24% – 48.24%,49.24% – 51.24%,52.24% – 56.24%
NEWGEN.NS,Newgen Software Technologies Limited,1,18-06-2025,48.15,48.15,58.45,54.97,0.89,0.7774,High,High,47.15% – 48.15%,49.15% – 51.15%,52.15% – 56.15%
BRIGADE.NS,Brigade Enterprises Limited,1,18-06-2025,48.01,48.01,37.4,40.43,0.4,0.492,Medium,High,47.01% – 48.01%,49.01% – 51.01%,52.01% – 56.01%
MADHUCON.NS,Madhucon Projects Limited,1,18-06-2025,47.91,47.91,53.85,,0.6,,Unknown,High,46.91% – 47.91%,48.91% – 50.91%,51.91% – 55.91%
